"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","diff.pct","gene"
"CG33129",2.61840931857305e-82,-0.696863505883351,0.875,0.979,2.92397768605053e-78,-0.104,"CG33129"
"mt:Cyt-b",2.33448552435203e-81,0.900407505217936,0.971,0.773,2.60691998504391e-77,0.198,"mt:Cyt-b"
"CCT3",4.3723147195702e-81,0.936872842587093,0.914,0.691,4.88256384734404e-77,0.223,"CCT3"
"CG5953",2.40283158933435e-80,2.91175195550747,0.419,0.063,2.68324203580967e-76,0.356,"CG5953"
"hid",9.66225092339009e-80,2.79330035522917,0.436,0.07,1.07898356061497e-75,0.366,"hid"
"rho",1.01505846375956e-79,2.57708754403701,0.507,0.108,1.1335157864803e-75,0.399,"rho"
"fus",4.68233834956582e-79,1.87809944504384,0.659,0.198,5.22876723496015e-75,0.461,"fus"
"CG5399",3.6872411431617e-78,8.77083029074236,0.213,0.001,4.11754218456867e-74,0.212,"CG5399"
"HmgD",3.79505458181371e-78,-0.961262170904719,0.708,0.957,4.23793745151137e-74,-0.249,"HmgD"
"Su(var)205",3.43712220642697e-77,-1.15162827845802,0.554,0.9,3.838234367917e-73,-0.346,"Su(var)205"
"ATPsynG",9.52501105373165e-76,-0.620339378814775,0.887,0.998,1.06365798437021e-71,-0.111,"ATPsynG"
"Hex-A",6.87488072811961e-73,2.12569377333086,0.547,0.139,7.67717930909117e-69,0.408,"Hex-A"
"Pfdn2",9.19253247770127e-73,-0.726493077500325,0.816,0.964,1.0265301017849e-68,-0.148,"Pfdn2"
"jvl",1.19270052651827e-71,1.55228691650549,0.745,0.315,1.33188867796295e-67,0.43,"jvl"
"CG15012",1.6592242236509e-71,-1.45980156936157,0.404,0.8,1.85285569055096e-67,-0.396,"CG15012"
"CG8501",1.81066628938173e-71,4.24190202839535,0.25,0.013,2.02197104535258e-67,0.237,"CG8501"
"CG11790",2.65558431270868e-71,-1.05404298505545,0.618,0.891,2.96549100200179e-67,-0.273,"CG11790"
"CG15673",1.207343604593e-70,3.46932974377161,0.299,0.028,1.348240603249e-66,0.271,"CG15673"
"Pomp",6.78102818664269e-70,-0.687375942469154,0.841,0.976,7.57237417602389e-66,-0.135,"Pomp"
"Prosalpha3",3.42965196630267e-69,-0.709160245875401,0.819,0.962,3.82989235077019e-65,-0.143,"Prosalpha3"
"prage",4.43565113185817e-69,2.31883452553368,0.468,0.101,4.95329161894602e-65,0.367,"prage"
