"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG20161",3.22934204356991e-39,0.51001820100305,0.919,0.735,3.60620626005452e-35,"LT","CG2016"
"CG1532",7.94162758419602e-35,0.529576775924617,0.576,0.348,8.86841552327169e-31,"LT","CG1532"
"CREG",2.9089386707829e-31,0.909587877369229,0.377,0.17,3.24841181366327e-27,"LT","CREG"
"Obp56d",8.23925963777458e-29,0.731678662059338,0.34,0.141,9.20078123750287e-25,"LT","Obp56d"
"CG9336",5.0640126985826e-25,0.589572910579611,0.237,0.083,5.65498298050719e-21,"LT","CG9336"
"CG9449",0,1.78417491461471,0.861,0.017,0,"GB","CG9449"
"CG9452",0,1.73121539242275,0.792,0.008,0,"GB","CG9452"
"CG7778",0,1.4824194373996,0.889,0.016,0,"GB","CG7778"
"Clect27",0,1.12827388796267,0.792,0.013,0,"GB","Clect27"
"Pu",0,1.09692055139587,0.583,0.01,0,"GB","Pu"
"CG9701",0,0.987514754552215,0.611,0.005,0,"GB","CG9701"
"Lcp1",0,0.976797675299406,0.597,0.006,0,"GB","Lcp1"
"NT5E-2",0,0.913696941013219,0.722,0.012,0,"GB","NT5E-2"
"Lcp4",0,0.830899367511608,0.569,0.002,0,"GB","Lcp4"
"CG12655",0,0.810849190532077,0.528,0.009,0,"GB","CG12655"
"CG34227",0,0.756537282035993,0.528,0.001,0,"GB","CG34227"
"sona",0,0.717262133383667,0.556,0.011,0,"GB","sona"
"lncRNA:CR44918",0,0.709104261046996,0.569,0.009,0,"GB","lncRNA:CR44918"
"Cpr78E",0,0.693807591584696,0.486,0.005,0,"GB","Cpr78E"
"CG42269",0,0.559092772998712,0.389,0.002,0,"GB","CG42269"
"Listericin",0,0.531865934969358,0.347,0.003,0,"GB","Listericin"
"CG11816",4.97358716170697e-255,1.5741461562243,0.889,0.042,5.55400478347818e-251,"GB","CG11816"
"CG8501",1.27201497205089e-250,1.32511168098793,0.875,0.043,1.42045911928923e-246,"GB","CG8501"
"Irc",1.41979095381475e-239,0.699964545510172,0.569,0.017,1.58548055812493e-235,"GB","Irc"
"CG136061",5.01955073001708e-214,1.95201192641963,0.972,0.066,5.60533230021008e-210,"GB","CG13606"
"CG33156",9.83434943182685e-211,0.950358358143405,0.667,0.028,1.0982018010521e-206,"GB","CG33156"
