,source,target,coef_mean,coef_abs,p,-logp
16735,Atf3,Eaat1,0.0,0.0,,-0.0
16736,gem,Eaat1,0.0,0.0,,-0.0
16737,Ptx1,Eaat1,0.0,0.0,,-0.0
16738,slp2,EbpIII,-0.00022138182,0.00022138182,0.34119861097425414,0.46699274552164405
16739,knrl,EbpIII,0.0006177745,0.0006177745,6.044780738201345e-06,5.218619447642954
16740,Eip74EF,EbpIII,0.0022756178,0.0022756178,1.747085919905177e-08,7.757685736331813
16741,bi,EbpIII,0.002122025,0.002122025,9.98461964600705e-07,6.000668474487476
16742,fd19B,EbpIII,8.5457425e-05,8.5457425e-05,2.6822760479673857e-05,4.5714965285203295
16743,h,EbpIII,0.0025447141,0.0025447141,3.440332129573354e-05,4.463399628626668
16744,vnd,EbpIII,4.7110225e-05,4.7110225e-05,0.3890309377129282,0.4100158600014369
16745,Sox15,Ect3,-0.02311865,0.02311865,3.213213992064845e-08,7.493060350552365
16746,bi,Ect3,-0.041107003,0.041107003,8.877063868994428e-09,8.051730655432078
16747,RunxA,Ect3,-0.0049825874,0.0049825874,1.017000694192372e-07,6.992678750632995
16748,Mes2,Ect3,-0.008305133,0.008305133,1.3405697991455992e-07,6.872710568779497
16749,klu,Ect3,0.10057057,0.10057057,3.8726285295040515e-13,12.41199415943627
16750,H15,Ect3,0.042172976,0.042172976,6.3135813109073625e-12,11.199724221999022
16751,Abd-B,Ect3,-0.0024955897,0.0024955897,0.6648103305970904,0.17730224059811428
16752,fd19B,Ect3,-0.0036838716,0.0036838716,6.037568789643283e-12,11.219137908034668
16753,sr,Ect3,0.0118408725,0.0118408725,0.0003095647661248132,3.509248475470886
16754,ems,Ect4,0.015245776,0.015245776,1.1627627840554849e-10,9.934508876917084
16755,bab2,Ect4,0.0027343899,0.0027343899,0.00043477652340408646,3.3617339145197906
16756,RunxA,Ect4,0.0004125587,0.0004125587,3.331664345949375e-11,10.477338758779304
16757,Stat92E,Ect4,-0.00016575074,0.00016575074,0.6883007814444415,0.16222173738100998
16758,Dll,Ect4,0.006579302,0.006579302,8.182790644018995e-10,9.087098560067997
16759,toe,Ect4,-0.004541697,0.004541697,2.0743272659033573e-11,10.68312272404945
16760,E(spl)m8-HLH,Ect4,0.0062305746,0.0062305746,8.454265332599705e-13,12.072924126192872
16761,pb,Ect4,0.00040682472,0.00040682472,0.07302379551379183,1.1365355977371974
16762,ro,Ect4,0.0006840281,0.0006840281,5.5737801254297203e-05,4.253850167340693
16763,fd19B,Ect4,-2.7510287e-05,2.7510287e-05,0.5550231490538793,0.2556889028292139
16764,kay,Ect4,0.0066704946,0.0066704946,4.21927693376644e-11,10.374761968607329
16765,eve,Ect4,-0.0011916959,0.0011916959,3.0484153227211884e-13,12.515925864078401
16766,Sox14,Ect4,0.0052933544,0.0052933544,5.094992846487525e-06,5.292856421418728
16767,gsb,Ect4,-0.0013760644,0.0013760644,2.633235846411875e-05,4.579510241460519
16768,Hr83,Ect4,-0.0001842751,0.0001842751,0.02145612448334299,1.6684487198116356
16769,retn,Ect4,0.0006195995,0.0006195995,9.297733896204534e-06,5.031622887606981
16770,Awh,Ect4,0.001744711,0.001744711,0.0005265159862597979,3.2785884380796033
16771,Hey,Ect4,-0.0016068558,0.0016068558,4.665336420137733e-05,4.331117033559192
16772,en,Ect4,0.0042611724,0.0042611724,1.7003877058194474e-07,6.769452043739069
16773,CG10654,Ect4,-1.9711484e-05,1.9711484e-05,0.8913002023913377,0.04997599485956238
16774,SoxN,Ect4,0.0010846489,0.0010846489,0.000729696690996982,3.1368576231662852
16775,Sp1,Ect4,-0.00047459488,0.00047459488,0.41929230491389524,0.37748310793771345
16776,E5,Ect4,0.0023209553,0.0023209553,0.03436290268956692,1.4639101577390286
16777,sna,Ect4,-0.00017302792,0.00017302792,0.27783855538771207,0.5562074877910753
16778,C15,Ect4,-0.00031501518,0.00031501518,0.23161336567009255,0.6352363824692933
16779,E(spl)m5-HLH,Ect4,-0.0023142432,0.0023142432,1.2441235259638612e-05,4.905136497473844
16780,Abd-B,Ect4,0.013550695,0.013550695,3.350120251503884e-12,11.474939603820685
16781,gem,Ect4,-3.1676984e-05,3.1676984e-05,0.8197560796352337,0.08631535374704731
16782,h,Ect4,0.001852857,0.001852857,0.017553205443692682,1.755643564133105
16783,pnr,Ect4,0.0011052204,0.0011052204,0.0016045642652438039,2.7946428840643733
16784,lbe,Ect4,0.0006968908,0.0006968908,0.00427794873960589,2.368764423654084
16785,dve,Ect4,-0.0021224145,0.0021224145,8.394227876807611e-06,5.076019245239279
16786,Ubx,Ect4,0.0036781898,0.0036781898,0.00030245651093021013,3.519337062072065
16787,vri,Ect4,-0.0030794614,0.0030794614,4.144111122005839e-06,5.382568607744744
16788,E(spl)mbeta-HLH,Ect4,0.016890716,0.016890716,1.1614913697866273e-12,11.934984012784081
16789,slp1,Ect4,-0.0015648479,0.0015648479,2.2070326893869726e-06,5.656191234253279
16790,fd96Cb,Ect4,0.00080511725,0.00080511725,0.03277272898746069,1.484487393379638
16791,vnd,Ect4,-0.0005309884,0.0005309884,9.622385157531103e-05,4.016717263475581
16792,mamo,Ect4,-0.0020454756,0.0020454756,0.00043866923658321714,3.3578628211469517
16793,slp2,Ect4,-0.0017910629,0.0017910629,0.0005367253264117337,3.270247911213149
16794,cad,Ect4,-0.0005336787,0.0005336787,1.1588068113936102e-08,7.935988960705103
16795,nub,Ect4,-0.00045077983,0.00045077983,0.21879418943339513,0.6599642158419042
16796,scrt,Ect4,0.00073812716,0.00073812716,0.0006573055616940061,3.1822326929854197
16797,eyg,Ect4,0.0023925598,0.0023925598,4.46951072671432e-06,5.349740016089129
16798,slbo,Ect4,0.007165555,0.007165555,5.341988762011956e-10,9.272297029942749
